Date,Open,High,Low,Close,Volume
2020-01-01,1166.52,1169.5,1163.99,1169.5,372988301
2020-01-02,1168.63,1169.27,1165.24,1166.21,532211211
2020-01-05,1166.49,1187.33,1163.39,1182.31,712425827
2020-01-06,1183.35,1200.69,1183.35,1200.69,842582150
2020-01-07,1200.65,1218.14,1200.65,1216.92,1102736748
2020-01-08,1217.82,1223.66,1207.26,1209.6,732169261
2020-01-09,1209.87,1216.23,1206.49,1213.11,837035757
2020-01-12,1213.19,1255.72,1213.19,1255.72,1335747967
2020-01-13,1260.01,1285.5,1259.34,1270.86,1665520000
2020-01-14,1271.11,1274.86,1254.3,1263.38,1026443666
2020-01-15,1263.32,1287.2,1263.32,1284.23,893677000
2020-01-16,1284.28,1313.19,1284.28,1310.23,1682330000
2020-01-19,1310.26,1349.1,1310.26,1343.65,2090877917
2020-01-20,1342.7,1359.32,1308.62,1317.11,1953780000
2020-01-21,1318.65,1331.28,1309.14,1320.47,1519976760
2020-01-22,1324.32,1325.69,1310.64,1313.42,1581381364
2020-01-23,1314.16,1320.76,1295.8,1297.47,1384209412
2020-01-26,1298.67,1299.46,1275.52,1276.68,965018662
2020-01-27,1276.68,1300.62,1274.03,1300.62,917359865
2020-01-28,1300.65,1316.44,1300.65,1306.15,1400467805
2020-01-29,1306.16,1311.74,1302.14,1305.88,1293711383
2020-01-30,1306.29,1331.83,1306.29,1325.38,1966219749
2020-02-02,1325.62,1349.68,1331.87,1346.64,2077987799
2020-02-03,1348.12,1355.27,1339.6,1349.13,1611719203
2020-02-04,1351.01,1353.27,1334.09,1337.04,1570166163
2020-02-05,1338.5,1342.62,1335.72,1342.36,1082483909
2020-02-06,1341.03,1346.6,1331.02,1333.69,1049345436
2020-02-09,1332.91,1333.85,1316.1,1319.99,950402584
2020-02-10,1320.77,1329.84,1315.37,1324.26,932086055
2020-02-11,1324.31,1342.91,1323.69,1341.38,1532250440
2020-02-12,1341.07,1353.29,1340.87,1345.97,1509784311
2020-02-13,1346.45,1354.88,1342.9,1344.59,1773805746
2020-02-16,1344.73,1363.97,1344.73,1363.97,1978108701
2020-02-17,1364.34,1403.21,1364.34,1398.24,2687533442
2020-02-18,1399.47,1416.87,1387.68,1400.01,2125977034
2020-02-19,1399.29,1406.25,1389.12,1405.25,1628841389
2020-02-20,1405.51,1434.57,1405.51,1434.57,2785004908
2020-02-23,1435.87,1509.92,1435.87,1504.14,3608526354
2020-02-24,1507.98,1536.83,1499.04,1502.18,3410516278
2020-02-25,1504.8,1544.07,1480.24,1545.19,2992160524
2020-02-26,1548.32,1596.13,1548.32,1596.13,4154883092
2020-02-27,1598.81,1635.51,1558.65,1632.17,4460536251
2020-03-01,1639.87,1667.74,1591.36,1591.36,4847437505
2020-03-02,1593.08,1593.5,1495.3,1495.3,2154428215
2020-03-03,1491.23,1540.59,1439.53,1509.67,3851622996
2020-03-04,1511.41,1513.43,1439.38,1441.2,2908472603
2020-03-05,1442.92,1464.62,1408.82,1435.7,2457093463
2020-03-10,1435.86,1436.66,1349.31,1349.31,1076696300
2020-03-11,1349.86,1423.09,1349.86,1423.09,2221081690
2020-03-12,1424.6,1430.77,1371.56,1377.18,2206662182
2020-03-15,1362.25,1362.25,1310.71,1313.04,2101417292
2020-03-16,1312.69,1334.12,1291.67,1316.39,1615341877
2020-03-17,1316.74,1321.26,1266.44,1272.06,1465184656
2020-03-18,1272.1,1286.46,1234.16,1255.8,1184416878
2020-03-19,1249.26,1278.93,1223.04,1269.3,1903142008
2020-03-22,1269.08,1275.42,1246.2,1251.45,194642984
2020-05-12,1250.95,1250.95,1226.15,1226.15,104372646
2020-05-13,1225.68,1225.68,1201.57,1201.57,3613523
2020-06-29,1197.09,1200.64,1149.73,1188.7,347771833
